id,yield
15000,7609.2905
15001,6839.768
15002,4716.5767
15003,7039.124
15004,5542.467
15005,5654.187
15006,5539.235
15007,3678.1775
15008,5771.4814
15009,5599.688
15010,4314.4062
15011,8155.2017
15012,5342.5386
15013,6199.3745
15014,7502.8457
15015,5507.9614
15016,5426.6733
15017,5668.382
15018,6534.7114
15019,5748.3906
15020,7362.576
15021,7294.4546
15022,6377.9487
15023,6467.0786
15024,7387.998
15025,5986.547
15026,3751.0425
15027,7440.338
15028,6569.8745
15029,7421.1543
15030,8197.856
15031,7213.4565
15032,6168.388
15033,5760.681
15034,5280.248
15035,6664.3125
15036,6487.0684
15037,7526.9673
15038,5615.418
15039,8402.366
15040,6707.812
15041,7065.8604
15042,5512.8945
15043,4564.5625
15044,4921.473
15045,6770.1084
15046,8026.121
15047,4004.1033
15048,6258.3164
15049,7413.6846
15050,3461.0168
15051,6393.109
15052,6548.7
15053,5554.4404
15054,5551.5225
15055,5601.6187
15056,6014.0576
15057,6642.067
15058,6795.0557
15059,6913.404
15060,6917.3994
15061,6814.2456
15062,5394.1157
15063,5349.0225
15064,6708.502
15065,7506.093
15066,5565.731
15067,5461.487
15068,3739.4207
15069,6614.181
15070,7498.621
15071,6909.815
15072,3527.3145
15073,2775.8188
15074,6863.4487
15075,4795.88
15076,3708.4639
15077,7237.6143
15078,6194.4067
15079,3821.9087
15080,7506.0527
15081,4175.5386
15082,4834.8076
15083,5795.06
15084,5551.2407
15085,7235.649
15086,6217.0938
15087,6394.394
15088,5720.2847
15089,6444.9824
15090,6857.78
15091,6578.5293
15092,6355.2134
15093,3966.786
15094,5844.7954
15095,7008.8916
15096,6856.6343
15097,5662.367
15098,4326.0757
15099,4107.466
15100,7215.7285
15101,5407.2217
15102,6473.2944
15103,4694.1543
15104,6259.5454
15105,5616.417
15106,4133.699
15107,4146.783
15108,8285.343
15109,6700.5347
15110,5551.3247
15111,5382.3916
15112,7945.842
15113,3638.4639
15114,5438.9023
15115,5540.9536
15116,4685.2183
15117,6861.48
15118,5294.85
15119,7332.0767
15120,6475.3687
15121,7241.523
15122,6303.7812
15123,6755.4834
15124,5389.456
15125,7424.0493
15126,6250.987
15127,6471.9536
15128,5629.4883
15129,3969.5754
15130,5636.9688
15131,5481.467
15132,6576.279
15133,6534.4795
15134,6476.6523
15135,7371.6963
15136,6716.4663
15137,7108.1836
15138,7363.273
15139,5873.68
15140,7390.9336
15141,5358.5527
15142,6841.1826
15143,7517.28
15144,5843.819
15145,5981.882
15146,4057.796
15147,8126.8667
15148,7708.094
15149,5239.173
15150,6211.4785
15151,7489.285
15152,6745.552
15153,6330.7188
15154,7769.016
15155,5476.295
15156,4110.266
15157,5354.75
15158,6393.141
15159,7035.0386
15160,6218.5947
15161,7252.753
15162,6481.967
15163,8138.852
15164,4392.667
15165,4217.4966
15166,5597.2026
15167,7524.432
15168,4988.019
15169,7232.195
15170,5061.555
15171,7375.0996
15172,4353.31
15173,6282.106
15174,7962.983
15175,6717.0703
15176,7516.352
15177,4431.891
15178,4120.1855
15179,6355.0303
15180,7001.25
15181,4150.704
15182,8149.196
15183,5590.787
15184,5556.728
15185,7095.607
15186,6203.893
15187,6861.3306
15188,3348.21
15189,4600.7944
15190,5036.0767
15191,5597.2983
15192,4247.122
15193,6612.0474
15194,7413.97
15195,6894.632
15196,7384.689
15197,4385.3105
15198,5581.8066
15199,5970.824
15200,4228.3486
15201,6988.171
15202,5514.2256
15203,5498.7393
15204,6990.3896
15205,4520.405
15206,8183.3096
15207,6367.8535
15208,5097.485
15209,4357.231
15210,8085.1553
15211,5747.727
15212,5458.7363
15213,5411.1807
15214,5744.5
15215,4826.9365
15216,7371.857
15217,7284.0513
15218,6381.5103
15219,6586.3447
15220,6551.154
15221,6177.2173
15222,6775.5366
15223,5772.978
15224,7143.576
15225,6266.2314
15226,6594.7515
15227,4506.6875
15228,5460.9463
15229,5418.0693
15230,7025.451
15231,4225.1987
15232,5379.3955
15233,6192.048
15234,5604.9873
15235,6255.8403
15236,7843.833
15237,4352.881
15238,3657.4438
15239,4308.852
15240,7548.6416
15241,4130.3677
15242,6279.7393
15243,7007.5605
15244,5782.6797
15245,6544.5645
15246,4449.148
15247,7517.1997
15248,6544.5493
15249,5223.65
15250,5396.062
15251,6478.7
15252,5716.4053
15253,4346.2124
15254,7480.9634
15255,5420.994
15256,5179.4526
15257,7847.5713
15258,5790.6006
15259,5730.3003
15260,7914.8257
15261,5801.883
15262,5265.817
15263,6275.261
15264,7285.442
15265,7486.458
15266,5748.239
15267,6461.9116
15268,4722.7964
15269,7870.2847
15270,5521.5415
15271,4605.6436
15272,5796.1304
15273,4844.8013
15274,6126.429
15275,7864.309
15276,6490.2363
15277,6169.9727
15278,6981.279
15279,6108.499
15280,7834.7837
15281,4598.3623
15282,7367.839
15283,2828.7512
15284,3655.366
15285,3633.2004
15286,7306.413
15287,6425.098
15288,5501.8726
15289,4728.2725
15290,6909.973
15291,4328.7505
15292,4536.7354
15293,6722.101
15294,7047.7476
15295,6448.767
15296,8185.81
15297,6823.6284
15298,5853.7485
15299,6694.6665
15300,4526.0093
15301,7630.3047
15302,7060.061
15303,3775.998
15304,6557.6387
15305,7364.1523
15306,8177.2554
15307,6486.4272
15308,5328.0347
15309,4638.7485
15310,4981.4854
15311,7412.191
15312,8355.024
15313,5043.6396
15314,6182.431
15315,5684.8975
15316,6780.238
15317,8304.416
15318,3479.244
15319,6213.2544
15320,5339.9673
15321,5585.955
15322,7522.833
15323,5335.1006
15324,4192.1504
15325,7734.0464
15326,5434.1416
15327,6414.594
15328,4194.983
15329,6645.9883
15330,6985.857
15331,4607.3555
15332,4421.3184
15333,7733.784
15334,7108.124
15335,5055.757
15336,7362.762
15337,7540.738
15338,6557.096
15339,4106.5293
15340,6770.1626
15341,5186.2725
15342,5636.719
15343,4472.053
15344,5348.2646
15345,7021.6353
15346,7354.946
15347,3474.5405
15348,5630.1167
15349,7023.932
15350,6480.7114
15351,5753.0303
15352,6111.3584
15353,5519.278
15354,7818.4067
15355,4734.6855
15356,7672.7725
15357,8172.3306
15358,6562.5254
15359,5323.0103
15360,6750.423
15361,6595.758
15362,7130.0674
15363,4223.037
15364,5634.3486
15365,4234.9316
15366,6561.8784
15367,6795.4453
15368,6203.9067
15369,4759.7065
15370,7806.888
15371,7347.4585
15372,7167.695
15373,5715.734
15374,4283.8975
15375,6341.058
15376,6538.67
15377,4529.319
15378,5365.579
15379,5548.7617
15380,7415.936
15381,8274.8545
15382,4247.371
15383,7728.986
15384,4619.034
15385,7268.788
15386,7306.3784
15387,6634.7275
15388,3587.403
15389,5012.9565
15390,5777.6895
15391,6401.424
15392,6235.9546
15393,6319.812
15394,7516.641
15395,7425.2896
15396,5401.776
15397,7887.7544
15398,7081.0454
15399,4733.723
15400,6798.485
15401,6222.0415
15402,4296.6772
15403,6776.7163
15404,7049.4424
15405,4703.124
15406,7450.519
15407,3635.0938
15408,4341.376
15409,7445.5225
15410,6045.681
15411,6478.784
15412,5588.6074
15413,4455.6504
15414,8232.694
15415,5465.0386
15416,6830.4575
15417,7201.316
15418,6187.998
15419,6354.0913
15420,7370.5776
15421,3595.9536
15422,7560.9863
15423,3949.7573
15424,6153.918
15425,7372.944
15426,6387.256
15427,8289.026
15428,4162.0557
15429,6211.791
15430,5758.4443
15431,6840.207
15432,7429.288
15433,6185.536
15434,6438.4946
15435,7426.399
15436,3218.4255
15437,4850.3633
15438,4506.151
15439,5589.823
15440,5753.805
15441,6111.7056
15442,6987.2456
15443,5776.886
15444,6498.7295
15445,5551.007
15446,5582.5684
15447,7647.9844
15448,6635.3223
15449,4629.049
15450,7518.189
15451,7262.837
15452,7482.951
15453,7387.608
15454,6413.1426
15455,6992.746
15456,6781.3657
15457,3000.2786
15458,7661.017
15459,8366.3545
15460,6381.0986
15461,7386.7876
15462,5570.3545
15463,7493.158
15464,8116.2344
15465,4400.13
15466,8180.934
15467,3473.829
15468,5724.2617
15469,6520.919
15470,5831.0327
15471,5402.4014
15472,8264.696
15473,7692.007
15474,8141.4463
15475,4628.535
15476,4786.2905
15477,7696.675
15478,4771.1895
15479,7013.904
15480,5106.175
15481,6233.796
15482,7024.575
15483,7209.6567
15484,6208.9707
15485,4837.3955
15486,7353.974
15487,5672.5386
15488,5857.047
15489,4215.387
15490,6171.3784
15491,7780.295
15492,8259.593
15493,6637.873
15494,4726.9263
15495,7316.855
15496,7263.573
15497,5937.0176
15498,6851.343
15499,5913.3423
15500,7035.463
15501,5665.7446
15502,8176.6416
15503,7138.896
15504,7420.688
15505,5813.966
15506,7514.7026
15507,6742.5005
15508,6087.2163
15509,4101.5566
15510,7333.5615
15511,6676.009
15512,6353.122
15513,6380.819
15514,7478.6787
15515,6850.9375
15516,6497.1377
15517,7450.2393
15518,6826.718
15519,8024.0024
15520,6472.6733
15521,7370.1274
15522,7839.9663
15523,3155.7798
15524,6368.5474
15525,3095.7341
15526,7011.543
15527,5859.0693
15528,7354.4824
15529,8232.034
15530,4411.9194
15531,5857.921
15532,6488.5693
15533,8276.496
15534,6230.8706
15535,3436.7998
15536,7488.2563
15537,5895.6143
15538,6183.561
15539,6663.969
15540,6177.9854
15541,7440.505
15542,6577.879
15543,5039.578
15544,5742.0254
15545,6747.663
15546,5149.711
15547,6549.71
15548,6388.772
15549,5600.0913
15550,6529.213
15551,5611.397
15552,4990.073
15553,5600.884
15554,7513.5415
15555,6281.805
15556,5550.21
15557,8378.8125
15558,6399.8438
15559,8262.716
15560,5473.429
15561,3402.0806
15562,4184.403
15563,6113.271
15564,4635.45
15565,5769.176
15566,4662.467
15567,4134.923
15568,3308.8008
15569,4339.216
15570,4082.1765
15571,6709.7695
15572,4240.068
15573,3467.5422
15574,5605.9272
15575,3609.5886
15576,6871.587
15577,7295.91
15578,7772.005
15579,5860.3315
15580,7439.8584
15581,6516.5073
15582,7783.196
15583,6231.344
15584,6479.826
15585,4478.7812
15586,7855.077
15587,4824.1064
15588,5795.036
15589,5835.983
15590,6819.618
15591,5516.5195
15592,4620.2935
15593,5791.8613
15594,7472.1553
15595,5709.2983
15596,6524.0703
15597,6818.4536
15598,6718.5605
15599,4208.8525
15600,7753.478
15601,4203.302
15602,5461.924
15603,7509.7847
15604,6787.069
15605,6506.511
15606,6602.3477
15607,6439.3813
15608,4397.123
15609,6305.6616
15610,6412.448
15611,7095.7563
15612,7964.755
15613,8186.4893
15614,6498.06
15615,6054.7495
15616,7389.4395
15617,7110.9575
15618,6267.4644
15619,5152.11
15620,6688.3257
15621,6007.8335
15622,4915.06
15623,4424.6255
15624,3753.5312
15625,4965.8623
15626,7832.0684
15627,6504.6025
15628,5558.2334
15629,5031.0786
15630,7015.525
15631,6229.434
15632,3156.3364
15633,3246.2476
15634,5563.8447
15635,5543.061
15636,5586.6772
15637,4709.2925
15638,3891.1147
15639,8200.694
15640,4885.4233
15641,5495.416
15642,5865.5186
15643,6500.9243
15644,6356.7163
15645,5687.7563
15646,7357.2944
15647,4611.408
15648,4572.3237
15649,4226.4414
15650,4331.0317
15651,6518.3774
15652,7373.876
15653,8347.432
15654,6988.384
15655,3701.148
15656,5686.578
15657,7275.542
15658,5461.6206
15659,7589.223
15660,3705.1873
15661,7805.6772
15662,7089.9077
15663,4548.5723
15664,5672.1714
15665,5755.4297
15666,7786.6475
15667,6393.4336
15668,6681.769
15669,7019.311
15670,5663.407
15671,7520.8384
15672,6863.795
15673,2812.806
15674,5364.921
15675,6110.6934
15676,7934.473
15677,8112.7095
15678,7344.415
15679,6807.13
15680,6632.136
15681,3298.288
15682,7934.1484
15683,6233.973
15684,5578.7886
15685,5406.0156
15686,7916.966
15687,7380.978
15688,6777.428
15689,6700.356
15690,5047.92
15691,7929.999
15692,4170.5474
15693,5836.334
15694,6352.3516
15695,4490.724
15696,6908.0537
15697,5954.781
15698,6369.762
15699,5538.79
15700,6990.1694
15701,4745.8447
15702,4803.949
15703,8305.711
15704,5883.582
15705,6732.082
15706,5094.0493
15707,5400.3066
15708,8083.2144
15709,6824.0474
15710,6830.588
15711,6546.702
15712,6618.4746
15713,6446.2275
15714,4888.311
15715,5630.521
15716,5021.287
15717,4182.9873
15718,6285.826
15719,5515.3247
15720,5674.9453
15721,3980.303
15722,6465.044
15723,4985.0703
15724,6821.7593
15725,3480.9187
15726,5826.8623
15727,6739.1743
15728,5775.8853
15729,5627.781
15730,4985.2856
15731,8484.727
15732,6747.0386
15733,5633.593
15734,5780.3193
15735,8229.47
15736,7283.324
15737,7252.771
15738,6975.594
15739,5536.365
15740,7359.7124
15741,6643.7383
15742,6534.9424
15743,6259.2695
15744,7350.632
15745,5254.019
15746,4161.0625
15747,7431.3516
15748,6551.037
15749,4296.2764
15750,5619.9404
15751,4616.993
