id,Rings
90615,10.13
90616,9.89
90617,10.02
90618,11.42
90619,7.97
90620,9.57
90621,10.92
90622,6.26
90623,8.02
90624,12.52
90625,13.21
90626,6.55
90627,9.84
90628,13.33
90629,7.61
90630,7.44
90631,13.16
90632,6.02
90633,9.63
90634,10.09
90635,6.88
90636,6.93
90637,9.4
90638,8.65
90639,9.74
90640,10.62
90641,8.59
90642,10.33
90643,5.68
90644,10.31
90645,10.46
90646,9.3
90647,12.73
90648,16.05
90649,14.15
90650,10.06
90651,8.85
90652,8.66
90653,12.22
90654,5.92
90655,8.25
90656,12.02
90657,8.33
90658,7.0
90659,9.5
90660,7.29
90661,8.8
90662,6.96
90663,9.11
90664,7.49
90665,13.57
90666,8.89
90667,5.8
90668,10.45
90669,10.25
90670,8.92
90671,10.38
90672,8.6
90673,13.06
90674,7.75
90675,5.36
90676,11.69
90677,11.88
90678,5.07
90679,9.53
90680,10.07
90681,9.74
90682,16.78
90683,10.77
90684,12.32
90685,11.41
90686,6.45
90687,10.22
90688,8.75
90689,11.8
90690,18.98
90691,8.38
90692,10.9
90693,13.69
90694,9.14
90695,8.43
90696,10.32
90697,7.7
90698,9.4
90699,5.35
90700,11.45
90701,10.02
90702,10.2
90703,12.99
90704,5.03
90705,11.7
90706,12.18
90707,6.7
90708,8.37
90709,9.58
90710,9.75
90711,9.64
90712,9.06
90713,14.85
90714,7.17
90715,8.79
90716,7.42
90717,9.08
90718,4.23
90719,5.92
90720,11.89
90721,9.13
90722,10.19
90723,7.87
90724,9.91
90725,6.88
90726,7.78
90727,7.66
90728,11.7
90729,10.26
90730,10.31
90731,5.4
90732,7.49
90733,10.2
90734,9.23
90735,7.68
90736,7.97
90737,5.76
90738,6.76
90739,15.01
90740,10.4
90741,5.75
90742,9.73
90743,12.51
90744,7.07
90745,9.09
90746,7.88
90747,4.16
90748,14.06
90749,9.64
90750,4.26
90751,7.43
90752,8.5
90753,7.96
90754,9.07
90755,9.4
90756,8.8
90757,12.95
90758,8.92
90759,7.38
90760,7.95
90761,9.77
90762,9.15
90763,9.12
90764,13.36
90765,10.85
90766,7.24
90767,14.65
90768,13.0
90769,6.01
90770,11.52
90771,10.67
90772,5.74
90773,8.16
90774,7.08
90775,9.63
90776,7.58
90777,12.63
90778,10.64
90779,11.2
90780,11.52
90781,11.36
90782,7.73
90783,11.32
90784,6.58
90785,8.62
90786,6.19
90787,8.79
90788,4.32
90789,12.22
90790,8.73
90791,7.05
90792,7.02
90793,6.87
90794,5.68
90795,11.45
90796,10.65
90797,10.26
90798,12.01
90799,8.58
90800,15.61
90801,10.07
90802,6.8
90803,10.55
90804,16.71
90805,11.13
90806,8.38
90807,11.3
90808,9.68
90809,12.88
90810,9.33
90811,9.67
90812,5.86
90813,9.99
90814,7.41
90815,7.92
90816,5.21
90817,10.45
90818,9.49
90819,6.76
90820,6.72
90821,9.67
90822,7.14
90823,6.42
90824,12.98
90825,8.03
90826,5.65
90827,4.14
90828,10.2
90829,11.63
90830,9.59
90831,8.25
90832,9.29
90833,12.17
90834,9.76
90835,9.19
90836,8.97
90837,5.22
90838,10.85
90839,8.37
90840,9.19
90841,11.33
90842,13.51
90843,10.54
90844,15.17
90845,10.59
90846,11.6
90847,6.93
90848,10.0
90849,9.0
90850,10.74
90851,13.42
90852,5.76
90853,11.23
90854,11.31
90855,7.44
90856,8.88
90857,12.71
90858,10.95
90859,10.47
90860,12.61
90861,9.84
90862,11.41
90863,9.12
90864,8.8
90865,14.94
90866,15.39
90867,11.86
90868,11.62
90869,7.86
90870,13.26
90871,11.08
90872,15.8
90873,10.09
90874,15.32
90875,8.88
90876,10.8
90877,9.26
90878,8.1
90879,8.83
90880,8.09
90881,12.68
90882,12.59
90883,12.21
90884,12.75
90885,10.01
90886,12.84
90887,5.65
90888,9.41
90889,14.35
90890,10.54
90891,10.9
90892,10.83
90893,4.66
90894,12.25
90895,11.65
90896,6.41
90897,5.57
90898,5.84
90899,15.68
90900,11.45
90901,15.54
90902,8.81
90903,6.52
90904,7.04
90905,7.05
90906,7.61
90907,9.93
90908,4.29
90909,14.66
90910,9.39
90911,7.75
90912,19.04
90913,9.14
90914,9.15
90915,6.69
90916,8.8
90917,11.32
90918,7.33
90919,8.69
90920,12.81
90921,6.81
90922,7.71
90923,9.91
90924,10.11
90925,11.11
90926,12.42
90927,9.71
90928,13.44
90929,12.42
90930,9.95
90931,11.38
90932,12.65
90933,9.98
90934,14.95
90935,8.86
90936,10.65
90937,11.24
90938,9.24
90939,9.46
90940,8.24
90941,7.39
90942,5.57
90943,12.93
90944,7.4
90945,9.73
90946,8.99
90947,11.14
90948,11.25
90949,12.57
90950,11.07
90951,9.82
90952,8.04
90953,7.48
90954,12.07
90955,8.53
90956,8.55
90957,10.69
90958,3.9
90959,7.45
90960,11.17
90961,7.54
90962,10.85
90963,5.76
90964,12.65
90965,6.38
90966,10.1
90967,9.57
90968,11.88
90969,10.19
90970,10.13
90971,7.42
90972,9.83
90973,10.85
90974,8.91
90975,10.99
90976,8.08
90977,8.5
90978,6.61
90979,9.36
90980,8.89
90981,11.91
90982,14.13
90983,4.11
90984,9.18
90985,6.47
90986,13.54
90987,8.65
90988,8.56
90989,12.31
90990,9.11
90991,8.08
90992,4.81
90993,9.2
90994,13.06
90995,7.34
90996,13.54
90997,10.02
90998,7.18
90999,6.08
91000,12.22
91001,7.33
91002,7.79
91003,12.37
91004,9.35
91005,7.67
91006,11.39
91007,9.0
91008,7.63
91009,11.4
91010,10.07
91011,9.58
91012,9.02
91013,10.51
91014,9.24
91015,9.98
91016,7.93
91017,12.25
91018,7.17
91019,11.45
91020,8.13
91021,11.26
91022,8.43
91023,5.3
91024,6.82
91025,11.33
91026,8.91
91027,7.21
91028,12.44
91029,11.29
91030,8.62
91031,8.82
91032,7.09
91033,4.78
91034,11.26
91035,9.62
91036,13.26
91037,6.95
91038,13.8
91039,12.52
91040,8.79
91041,8.18
91042,10.4
91043,12.6
91044,7.58
91045,8.89
91046,7.99
91047,6.75
91048,10.33
91049,10.66
91050,9.88
91051,9.06
91052,10.48
91053,11.06
91054,9.01
91055,7.27
91056,13.49
91057,11.12
91058,15.96
91059,12.84
91060,9.55
91061,7.78
91062,13.09
91063,8.15
91064,9.33
91065,9.6
91066,9.23
91067,9.49
91068,11.07
91069,8.9
91070,9.09
91071,7.86
91072,5.37
91073,6.59
91074,15.93
91075,6.97
91076,12.2
91077,8.17
91078,6.3
91079,7.12
91080,8.45
91081,7.65
91082,10.18
91083,11.31
91084,7.93
91085,12.65
91086,11.36
91087,12.6
91088,9.52
91089,9.16
91090,10.93
91091,9.38
91092,10.21
91093,7.07
91094,6.68
91095,10.85
91096,11.11
91097,15.41
91098,6.98
91099,6.76
91100,10.6
91101,12.14
91102,7.94
91103,8.93
91104,10.44
91105,16.89
91106,12.17
91107,6.88
91108,10.37
91109,12.03
91110,13.45
91111,8.6
91112,10.12
91113,9.37
91114,5.86
91115,11.93
91116,6.72
91117,8.36
91118,6.55
91119,8.02
91120,10.55
91121,8.88
91122,6.3
91123,9.34
91124,12.26
91125,7.53
91126,7.45
91127,6.28
91128,7.01
91129,9.04
91130,9.0
91131,8.31
91132,14.24
91133,10.9
91134,9.68
91135,7.27
91136,10.15
91137,11.08
91138,7.58
91139,9.41
91140,8.75
91141,8.68
91142,11.18
91143,6.76
91144,10.87
91145,13.81
91146,5.51
91147,10.21
91148,13.59
91149,7.3
91150,15.89
91151,11.95
91152,9.06
91153,9.01
91154,7.23
91155,9.96
91156,6.64
91157,11.66
91158,8.72
91159,9.45
91160,8.58
91161,9.52
91162,10.78
91163,5.75
91164,9.04
91165,12.2
91166,9.7
91167,8.47
91168,16.71
91169,8.65
91170,6.98
91171,8.82
91172,9.1
91173,14.39
91174,6.72
91175,9.78
91176,12.27
91177,12.04
91178,4.61
91179,14.08
91180,13.01
91181,9.3
91182,10.16
91183,6.97
91184,6.42
91185,14.5
91186,9.92
91187,9.91
91188,9.2
91189,11.24
91190,5.49
91191,8.37
91192,12.36
91193,8.7
91194,7.62
91195,7.54
91196,8.23
91197,8.26
91198,6.77
91199,7.08
91200,9.54
91201,9.71
91202,13.32
91203,7.85
91204,7.32
91205,17.09
91206,11.63
91207,14.04
91208,10.83
91209,10.5
91210,6.66
91211,10.07
91212,9.17
91213,5.87
91214,13.86
91215,8.72
91216,5.6
91217,8.65
91218,8.96
91219,10.26
91220,10.82
91221,6.69
91222,12.72
91223,10.97
91224,9.76
91225,9.66
91226,11.25
91227,6.79
91228,8.97
91229,9.67
91230,10.62
91231,11.96
91232,6.98
91233,15.78
91234,7.59
91235,9.49
91236,9.3
91237,6.64
91238,8.31
91239,8.29
91240,9.08
91241,11.46
91242,9.6
91243,10.98
91244,13.6
91245,11.09
91246,6.99
91247,8.93
91248,11.21
91249,12.4
91250,7.04
91251,12.98
91252,11.41
91253,7.97
91254,7.26
91255,12.65
91256,10.18
91257,7.05
91258,7.76
91259,14.62
91260,9.82
91261,9.0
91262,9.01
91263,5.84
91264,8.7
91265,6.94
91266,11.02
91267,7.65
91268,7.83
91269,12.82
91270,16.93
91271,7.16
91272,8.52
91273,12.95
91274,10.21
91275,10.03
91276,13.52
91277,11.03
91278,11.06
91279,8.57
91280,8.51
91281,7.37
91282,10.8
91283,9.5
91284,8.74
91285,9.01
91286,8.42
91287,9.71
91288,9.72
91289,8.96
91290,7.2
91291,7.37
91292,18.04
91293,9.73
91294,9.0
91295,13.6
91296,9.29
91297,12.47
91298,16.43
91299,7.55
91300,7.82
91301,9.2
91302,9.69
91303,9.26
91304,11.34
91305,9.57
91306,5.64
91307,10.76
91308,12.24
91309,11.66
91310,12.18
91311,8.2
91312,10.48
91313,9.25
91314,6.58
91315,8.92
91316,7.33
91317,11.31
91318,8.16
91319,7.23
91320,8.02
91321,8.31
91322,4.55
91323,8.92
91324,7.46
91325,7.3
91326,10.12
91327,15.12
91328,11.36
91329,10.64
91330,10.01
91331,9.74
91332,13.47
91333,8.31
91334,10.88
91335,4.74
91336,14.33
91337,10.85
91338,10.61
91339,10.67
91340,7.39
91341,5.21
91342,9.67
91343,7.33
91344,6.68
91345,7.75
91346,7.64
91347,12.18
91348,9.49
91349,9.7
91350,3.87
91351,12.62
91352,9.45
91353,10.42
91354,9.4
91355,7.29
91356,12.83
91357,10.77
91358,18.07
91359,12.47
91360,5.73
91361,10.21
91362,8.3
91363,12.0
91364,8.77
91365,9.09
91366,9.49
91367,10.87
